src_name,src_domain,src_clia,persona,apollo_id,contact_name,contact_first_name,contact_email,contact_title,contact_linkedin_url,contact_phone
LABORATORIO AVANZADO EMMANUEL,labemmanuel.com,40D0965124,ceo_owner,675527eaab018d00015a5164,Victor Va***n,Victor,(require direct fetch),President,,(require direct fetch)
LAB CLINICO Y  BACTERIOLOGICO DE CIALES INC,vitadox.com,40D1001273,ceo_owner,66fb1dbd54ee700001e0603d,Philip Ku***i,Philip,(require direct fetch),Founder & President,,(require direct fetch)
QUEST DIAGNOSTICS,locations.questdiagnostics.com,40D1047315,ceo_owner,6817a25a77b32a00011d69ca,Karthik Ku***y,Karthik,(require direct fetch),"Senior Vice President, Clinical Solutions",,(require direct fetch)
LABORATORIO CLINICO ROLON EL JUNCO,waze.com,40D1067611,ceo_owner,62a9ddbfb34d80000135a08b,Taghi Sh***w,Taghi,(require direct fetch),President,,(require direct fetch)
LABORATORIO CLINICO LLANADAS,vitadox.com,40D1071152,ceo_owner,66fb1dbd54ee700001e0603d,Philip Ku***i,Philip,(require direct fetch),Founder & President,,(require direct fetch)
LABORATORIO CLINICO AVANZADO EMMANUEL INC,labemmanuel.com,40D1090756,ceo_owner,675527eaab018d00015a5164,Victor Va***n,Victor,(require direct fetch),President,,(require direct fetch)
PROFESSIONAL HOSPITAL GUAYNABO,professionalhospital.net,40D1092624,medical_director,66fc72d6fe696c00017dbaad,Luis Ar***e,Luis,(require direct fetch),Medical Director,,
LABORATORIO CLINICO MEDIA LUNA,vitadox.com,40D1107086,ceo_owner,66fb1dbd54ee700001e0603d,Philip Ku***i,Philip,(require direct fetch),Founder & President,,(require direct fetch)
LABORATORIO CLINICO BACTERIOLOGICO SAN ANTONIO II,vitadox.com,40D2015273,ceo_owner,66fb1dbd54ee700001e0603d,Philip Ku***i,Philip,(require direct fetch),Founder & President,,(require direct fetch)
LABORATORIO CLINICO LA VICTORIA,cybo.com,40D2026774,ceo_owner,66f6349f2e45b8000167a594,Sean Li***y,Sean,(require direct fetch),President,,(require direct fetch)
LABORATORIO CLINICO CARIBE,vitadox.com,40D2031886,ceo_owner,66fb1dbd54ee700001e0603d,Philip Ku***i,Philip,(require direct fetch),Founder & President,,(require direct fetch)
